contb_receipt_dt,contb_receipt_amt
NOV,40015.48
DEC,32250.0
OCT,32780.0
SEP,67645.0
AUG,53965.0
JUL,50870.0
MAY,76807.41
JUN,36700.0
APR,22244.0
