contb_receipt_dt,contb_receipt_amt
JUN,13834406.95
JUL,4390851.07
AUG,11344155.15
OCT,11259765.79
SEP,20996072.7
NOV,12807187.55
DEC,17645353.3
APR,3176536.81
MAY,9463925.32
MAR,557650.0
FEB,40035.0
JAN,60100.0
